form id,writer id,number of sentences,word segmentation,NBTO,NBOK,WOTO,WOOK,path
a01-000u,000,2,prt,7,5,52,36,forms/a01-000u.png
a01-000x,001,2,all,6,6,52,52,forms/a01-000x.png
a01-003,002,3,prt,11,10,81,71,forms/a01-003.png
a01-003u,000,3,prt,11,10,80,73,forms/a01-003u.png
a01-003x,003,3,prt,9,6,82,56,forms/a01-003x.png
a01-007,004,3,all,9,9,69,69,forms/a01-007.png
a01-007u,000,3,all,10,10,68,68,forms/a01-007u.png
a01-007x,003,3,all,8,8,69,69,forms/a01-007x.png
a01-011,005,2,prt,7,6,68,58,forms/a01-011.png
a01-011u,000,2,all,10,10,68,68,forms/a01-011u.png
a01-011x,006,2,prt,9,1,68,10,forms/a01-011x.png
a01-014,007,5,prt,10,9,76,68,forms/a01-014.png
a01-014u,000,5,prt,9,8,59,53,forms/a01-014u.png
a01-014x,008,5,all,10,10,76,76,forms/a01-014x.png
a01-020,009,5,all,9,9,68,68,forms/a01-020.png
a01-020u,000,5,all,10,10,68,68,forms/a01-020u.png
a01-020x,010,5,all,9,9,69,69,forms/a01-020x.png
a01-026,009,3,prt,10,8,77,62,forms/a01-026.png
a01-026u,000,3,all,11,11,77,77,forms/a01-026u.png
a01-026x,008,3,prt,10,8,78,63,forms/a01-026x.png
a01-030,005,7,prt,8,6,85,63,forms/a01-030.png
a01-030u,000,7,prt,11,10,85,75,forms/a01-030u.png
a01-030x,010,6,prt,9,8,76,68,forms/a01-030x.png
a01-038,007,4,prt,13,12,86,77,forms/a01-038.png
a01-038x,011,4,prt,9,5,82,43,forms/a01-038x.png
a01-043,012,5,prt,11,8,68,50,forms/a01-043.png
a01-043u,000,5,all,10,10,68,68,forms/a01-043u.png
a01-043x,011,5,all,8,8,67,67,forms/a01-043x.png
a01-049,012,3,prt,11,9,79,68,forms/a01-049.png
a01-049u,000,3,prt,11,10,75,70,forms/a01-049u.png
a01-049x,000,3,prt,11,9,82,68,forms/a01-049x.png
a01-053,013,4,prt,11,7,72,46,forms/a01-053.png
a01-053u,000,4,all,10,10,69,69,forms/a01-053u.png
a01-053x,014,4,prt,10,8,68,55,forms/a01-053x.png
a01-058,013,4,prt,10,7,68,48,forms/a01-058.png
a01-058u,000,4,all,9,9,67,67,forms/a01-058u.png
a01-058x,014,4,all,10,10,66,66,forms/a01-058x.png
a01-063,013,4,prt,11,9,78,60,forms/a01-063.png
a01-063u,000,4,prt,10,9,77,69,forms/a01-063u.png
a01-063x,015,4,prt,10,6,77,50,forms/a01-063x.png
a01-068u,000,3,all,10,10,70,70,forms/a01-068u.png
a01-072u,000,4,all,9,9,66,66,forms/a01-072u.png
a01-072x,001,4,prt,8,6,65,47,forms/a01-072x.png
a01-077,016,4,all,10,10,66,66,forms/a01-077.png
a01-077u,000,4,prt,9,8,65,56,forms/a01-077u.png
a01-082u,000,4,all,10,10,62,62,forms/a01-082u.png
a01-087,017,3,prt,9,8,65,58,forms/a01-087.png
a01-087u,000,3,all,9,9,64,64,forms/a01-087u.png
a01-091,016,4,all,11,11,71,71,forms/a01-091.png
a01-091u,000,4,all,10,10,71,71,forms/a01-091u.png
a01-096u,000,5,prt,11,9,82,65,forms/a01-096u.png
a01-102,016,4,prt,11,8,75,52,forms/a01-102.png
a01-102u,000,4,prt,9,8,75,67,forms/a01-102u.png
a01-107,018,5,prt,5,3,67,38,forms/a01-107.png
a01-107u,000,5,prt,8,7,68,59,forms/a01-107u.png
a01-113,018,3,all,9,9,84,84,forms/a01-113.png
a01-113u,000,3,all,11,11,84,84,forms/a01-113u.png
a01-117,019,4,prt,10,9,93,80,forms/a01-117.png
a01-117u,000,4,all,11,11,87,87,forms/a01-117u.png
a01-122,019,5,prt,8,6,84,62,forms/a01-122.png
a01-122u,000,5,all,11,11,84,84,forms/a01-122u.png
a01-128,019,3,prt,9,6,84,54,forms/a01-128.png
a01-128u,000,3,prt,11,8,84,60,forms/a01-128u.png
a01-132,020,3,prt,12,10,70,62,forms/a01-132.png
a01-132u,000,3,all,10,10,70,70,forms/a01-132u.png
a01-132x,000,3,all,9,9,69,69,forms/a01-132x.png
a02-000,021,3,all,8,8,65,65,forms/a02-000.png
a02-004,022,3,prt,11,9,76,63,forms/a02-004.png
a02-008,023,3,prt,9,8,79,70,forms/a02-008.png
a02-012,024,4,prt,10,9,66,60,forms/a02-012.png
a02-017,025,2,prt,8,7,71,56,forms/a02-017.png
a02-020,025,3,all,7,7,62,62,forms/a02-020.png
a02-024,025,2,prt,8,7,63,55,forms/a02-024.png
a02-027,025,4,all,10,10,89,89,forms/a02-027.png
a02-032,025,4,all,7,7,70,70,forms/a02-032.png
a02-037,026,4,prt,10,8,87,68,forms/a02-037.png
a02-042,026,3,prt,8,5,69,37,forms/a02-042.png
a02-046,027,3,prt,8,7,79,69,forms/a02-046.png
a02-050,028,2,prt,8,7,62,51,forms/a02-050.png
a02-053,029,3,prt,8,7,77,64,forms/a02-053.png
a02-057,030,4,prt,9,6,65,45,forms/a02-057.png
a02-062,031,4,prt,8,2,60,12,forms/a02-062.png
a02-067,032,4,prt,10,9,73,65,forms/a02-067.png
a02-072,033,5,all,8,8,88,88,forms/a02-072.png
a02-078,034,3,prt,10,7,80,58,forms/a02-078.png
a02-082,035,3,all,8,8,64,64,forms/a02-082.png
a02-086,036,3,prt,8,7,66,56,forms/a02-086.png
a02-090,026,2,prt,7,4,64,40,forms/a02-090.png
a02-093,026,4,prt,9,8,73,69,forms/a02-093.png
a02-098,026,3,prt,9,6,77,52,forms/a02-098.png
a02-102,037,3,prt,9,8,68,59,forms/a02-102.png
a02-106,037,4,all,10,10,83,83,forms/a02-106.png
a02-111,037,4,prt,12,10,83,70,forms/a02-111.png
a02-116,038,3,prt,9,7,66,47,forms/a02-116.png
a02-120,039,3,prt,11,10,80,71,forms/a02-120.png
a02-124,037,1,all,6,6,41,41,forms/a02-124.png
a03-006,040,2,all,9,9,80,80,forms/a03-006.png
a03-009,041,1,prt,8,6,64,43,forms/a03-009.png
a03-011,042,2,all,9,9,84,84,forms/a03-011.png
a03-014,043,2,prt,10,9,66,60,forms/a03-014.png
a03-017,044,2,all,9,9,71,71,forms/a03-017.png
a03-020,045,2,prt,11,3,58,16,forms/a03-020.png
a03-023,046,3,all,11,11,75,75,forms/a03-023.png
a03-027,047,2,prt,10,9,83,74,forms/a03-027.png
a03-030,048,3,prt,10,9,75,67,forms/a03-030.png
a03-034,049,2,all,8,8,66,66,forms/a03-034.png
a03-037,050,2,all,8,8,74,74,forms/a03-037.png
a03-040,051,2,all,7,7,66,66,forms/a03-040.png
a03-043,052,3,all,9,9,65,65,forms/a03-043.png
a03-047,037,2,all,11,11,86,86,forms/a03-047.png
a03-050,000,3,prt,9,7,64,49,forms/a03-050.png
a03-054,053,4,prt,11,9,77,64,forms/a03-054.png
a03-059,054,4,prt,12,8,81,50,forms/a03-059.png
a03-063,055,3,prt,11,10,98,88,forms/a03-063.png
a03-066,056,1,all,8,8,58,58,forms/a03-066.png
a03-071,000,1,prt,9,7,74,59,forms/a03-071.png
a03-073,000,3,prt,12,11,93,84,forms/a03-073.png
a03-080,000,2,prt,10,8,70,55,forms/a03-080.png
a03-089,000,1,prt,4,3,24,15,forms/a03-089.png
a04-000,058,2,all,7,7,49,49,forms/a04-000.png
a04-003,058,2,all,8,8,55,55,forms/a04-003.png
a04-006,058,3,prt,11,10,91,82,forms/a04-006.png
a04-010,058,4,all,9,9,72,72,forms/a04-010.png
a04-015,059,3,all,8,8,83,83,forms/a04-015.png
a04-019,059,3,all,8,8,89,89,forms/a04-019.png
a04-023,059,3,prt,7,5,82,57,forms/a04-023.png
a04-027,059,3,all,6,6,74,74,forms/a04-027.png
a04-031,060,3,all,10,10,86,86,forms/a04-031.png
a04-035,060,3,prt,10,9,83,75,forms/a04-035.png
a04-039,060,3,all,10,10,83,83,forms/a04-039.png
a04-043,060,3,all,9,9,68,68,forms/a04-043.png
a04-047,061,2,all,9,9,75,75,forms/a04-047.png
a04-050,061,3,all,7,7,63,63,forms/a04-050.png
a04-054,061,4,all,7,7,69,69,forms/a04-054.png
a04-059,061,3,prt,8,7,74,66,forms/a04-059.png
a04-066,062,2,prt,9,7,61,45,forms/a04-066.png
a04-069,062,2,prt,9,7,68,55,forms/a04-069.png
a04-072,062,4,prt,11,10,76,67,forms/a04-072.png
a04-081,063,3,all,10,10,60,60,forms/a04-081.png
a04-085,063,3,all,10,10,67,67,forms/a04-085.png
a04-089,063,2,all,10,10,73,73,forms/a04-089.png
a04-092,064,3,all,11,11,89,89,forms/a04-092.png
a04-096,064,2,all,10,10,75,75,forms/a04-096.png
a04-099,064,3,prt,11,10,85,73,forms/a04-099.png
a04-103,064,2,all,9,9,68,68,forms/a04-103.png
a05-000,000,3,all,8,8,57,57,forms/a05-000.png
a05-004,065,4,prt,10,8,81,66,forms/a05-004.png
a05-009,065,3,all,8,8,61,61,forms/a05-009.png
a05-013,000,3,prt,9,6,60,35,forms/a05-013.png
a05-017,000,4,prt,11,10,74,66,forms/a05-017.png
a05-022,000,2,all,9,9,63,63,forms/a05-022.png
a05-025,000,3,prt,11,10,74,68,forms/a05-025.png
a05-029,000,4,all,10,10,72,72,forms/a05-029.png
a05-039,000,4,prt,11,8,79,57,forms/a05-039.png
a05-044,000,3,prt,11,10,77,68,forms/a05-044.png
a05-048,000,4,all,11,11,85,85,forms/a05-048.png
a05-053,000,4,prt,11,10,87,78,forms/a05-053.png
a05-058,000,3,all,9,9,66,66,forms/a05-058.png
a05-062,000,2,prt,9,5,72,39,forms/a05-062.png
a05-069,000,3,prt,11,10,76,70,forms/a05-069.png
a05-073,000,6,prt,11,9,92,74,forms/a05-073.png
a05-080,000,3,prt,10,9,63,54,forms/a05-080.png
a05-084,000,4,all,10,10,69,69,forms/a05-084.png
a05-089,000,4,prt,11,10,87,76,forms/a05-089.png
